Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,0.00,0.00,500.00,0,0,0,0,0,0,0,0,1,0.0,12
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,94080.41,22942.59,681500.00,473,0,488,0,483,0,272,0,19,0.834488299986735,2832
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,169452.04,120512.65,1601750.00,2004,0,370,0,3912,0,586,0,43,0.8516852734665121,6732
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,74176.44,104578.75,14795100.00,1534,278,0,979,1359,149,862,30,33,0.9108242239307356,8760
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,228559.36,161921.35,18115200.00,2044,0,1162,0,1507,0,1101,0,33,0.9594288219931215,10164
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,111692.95,128800.00,21413000.00,2060,328,0,956,1815,92,1072,63,36,0.9025974910103683,11388
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,44463.76,40755.00,8496000.00,727,102,0,215,1202,19,430,17,21,0.9514485141072824,4296
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,72305.36,55200.00,12173700.00,1080,259,0,497,1045,113,621,19,26,0.8951282508878425,5868
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,24420.72,10065.00,6866200.00,267,294,0,135,114,465,335,17,18,0.9554318261578246,3180
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,626800.81,0.00,0,1377,0,573,0,993,0,655,18,0.9991983875784239,6648
